,trial,center_freq,3dB_freq,res_sharpness,abf_name,cell_ID,file_time,has_spike
209,avg,0,19.980080080080082,0,14515402.abf,4,2014-05-15 16:29:14.296,0.0
219,avg,0.9366366366366365,9.502202202202202,1.0221043734886033,14n03406.abf,15,2014-11-03 18:02:38.599,0.0
230,avg,0,1.4744744744744744,0,14515380.abf,3,2014-05-15 15:18:07.108,0.0
240,avg,0,10.617717717717717,0,14918309.abf,12,2014-09-18 15:33:04.731,0.0
251,avg,0.0,9.382682682682683,0.0,14515362.abf,2,2014-05-15 14:34:29.499,0.0
262,avg,0.0,5.876776776776776,0.0,14918347.abf,13,2014-09-18 17:26:25.060,0.0
273,avg,3.2473473473473473,15.717217217217216,1.1953319193778116,14605301.abf,5,2014-06-05 15:38:45.952,0.0
283,avg,0,12.988188188188188,0,14918373.abf,14,2014-09-18 18:06:28.903,0.0
293,avg,0,3.7254254254254255,0,15420039.abf,9,2015-04-20 15:02:04.922,0.0
304,avg,1.0362362362362363,7.550050050050049,1.0517570470189392,15330014.abf,7,2015-03-30 14:33:37.293,0.0
314,avg,0.9764764764764764,9.462362362362361,1.018783084785762,15224028.abf,6,2015-02-24 14:05:13.778,0.0
318,avg,1.0760760760760761,7.191491491491491,1.0430398836703487,14424346.abf,1,2014-04-24 17:02:38.972,0.0
328,avg,0.0,11.812912912912912,0.0,14n04304.abf,10,2014-11-04 13:11:40.484,0.0
338,avg,0,16.394494494494495,0,15330041.abf,8,2015-03-30 15:49:56.420,0.0
348,avg,0.9764764764764764,6.813013013013013,1.12022675120108,14n03315.abf,4,2014-11-03 13:36:51.837,0.0
354,avg,0,7.809009009009008,0,14911316.abf,3,2014-09-11 17:32:35.716,0.0
363,avg,4.422622622622622,18.525925925925925,1.3561391888276049,14617302.abf,2,2014-06-17 12:18:27.565,0.0
374,avg,0,2.9286286286286285,0,14n10462.abf,5,2014-11-10 17:42:55.582,0.0
385,avg,0.5183183183183183,11.753153153153152,1.0175876032057103,15127064.abf,20,2015-01-27 17:17:39.073,0.0
396,avg,2.151751751751752,9.58188188188188,1.4462651125910009,15105068.abf,18,2015-01-05 19:01:22.040,0.0
407,avg,0,10.279079079079079,0,14d02125.abf,9,2014-12-02 18:26:15.169,0.0
418,avg,0.856956956956957,19.96016016016016,1.1733975567140547,14d16019.abf,11,2014-12-16 14:46:38.212,0.0
422,avg,2.151751751751752,11.812912912912912,1.0426884870763857,14318310.abf,7,2014-03-18 19:48:55.280,0.0
433,avg,0.0,17.56976976976977,0.0,14d18117.abf,16,2014-12-18 17:40:57.127,0.0
439,avg,1.0362362362362363,8.287087087087086,1.0155950220442282,14317321.abf,6,2014-03-17 13:29:05.538,0.0
450,avg,0,10.518118118118117,0,15105004.abf,17,2015-01-05 12:48:31.359,0.0
461,avg,0,5.7572572572572565,0,14224303.abf,1,2014-02-24 14:47:05.252,0.0
472,avg,0.0,19.621521521521522,0.0,14d02170.abf,10,2014-12-02 19:41:25.052,0.0
483,avg,1.0760760760760761,17.948248248248248,1.0179424434700648,15127044.abf,19,2015-01-27 16:33:56.263,0.0
492,avg,0.856956956956957,15.498098098098097,1.0566932999418097,14d02057.abf,8,2014-12-02 15:59:49.865,0.0
